@@,name,position
->,Teodoro Lonfernini,"Secretary for Labour and Cooperation->Segretario di Stato per il Lavoro, la Programmazione Economica, lo Sport, l’Informazione e i Rapporti con l’A.A.S.S."
->,Stefano Canti,"Secretary for the Territory and the Environment->Segretaria.di Stato per il Territorio,l'Ambiente, l'Agricoltura e la Protezione Civile"
->,Roberto Ciavatta,"Secretary for Health and Social Security->Segretario di Stato per la Sanità,la Sicurezza Sociale,la Previdenza e gli Affari Socialie,le Pari Opportunità e l'Innovazione Tecnol."
->,Massimo Andrea Ugolini,Secretary for Justice and the Family->Segretario di Stato per la Giustizia e la Famiglia
->,Marco Gatti,"Secretary for Finance and Budget->Segretario di Stato per le Finanze,il Bilancio e i Trasporti"
->,Luca Beccari,"Secretary for Foreign and Political Affairs->Segretario di Stato per gli Affari Esteri, per la Cooperazione Economica Internationale e le Telecommunicazioni"
->,Federico Pedini Amati,"Secretary for Tourism->Segretario di Stato per il Turismo, le Poste, la Cooperazione ed Expò"
->,Fabio Righi,"Secretary for Industry and Crafts->Segretario di St.per l'Industria,l'Artigianato e il Commercio,la Ricerca Tecnologica e la Semplificazione Normativa"
->,Elena Tonnini,"Secretary for Internal Affairs->Segretario.di St.per gli Affari interni,la Funzione Pubblica e gli Affari IstuzionaliÂ"
->,Andrea Belluzzi,"Secretary for Education and Culture->Segret.di St.per l'Istruzione e la Cultura e l'Università,la Ricerca Scientifica e le Politiche Giovanili"
---,Pasquale Valentini,Secretary for Foreign and Political Affairs
