position,person,personID,start,gender,DOB,DOD,image,enwiki
Captain Regent,Giacomo Simoncini,Q108584119,2021-10-01,male,1994-11-30,,Capitano Reggente S. E. Giacomo Simoncini.jpg,Giacomo Simoncini
Captain Regent,Francesco Mussoni,Q887796,2021-10-01,male,1971-05-15,,,Francesco Mussoni
Secretary for Foreign and Political Affairs,Luca Beccari,Q15998324,2020-01-07,male,1974-10-29,,Napolitano Ciavatta Beccari.jpg,Luca Beccari
Secretary for Internal Affairs,Elena Tonnini,Q107285242,2020-01-07,female,1979-01-02,,,Elena Tonnini
Secretary for Finance and Budget,Marco Gatti,Q3846151,2020-01-08,male,1967-01-25,,,
Secretary for Industry and Crafts,Fabio Righi,Q110174541,2020-01-08,male,1987,,,
Secretary for the Territory and the Environment,Stefano Canti,Q97649650,2020-01-08,male,1975-08-28,,,
Secretary for Tourism,Federico Pedini Amati,Q888414,2020-01-08,male,1976-08-11,,FedericoPediniAmati.png,Federico Pedini Amati
Secretary for Health and Social Security,Roberto Ciavatta,Q110174519,2020-01-08,male,1976-09-23,,,
Secretary for Education and Culture,Andrea Belluzzi,Q19691256,2020-01-08,male,1968-03-29,,Andrea Belluzzi.jpg,Andrea Belluzzi
Secretary for Labour and Cooperation,Teodoro Lonfernini,Q57547,2020-01-08,male,1976-05-12,,,Teodoro Lonfernini
Secretary for Justice and the Family,Massimo Andrea Ugolini,Q23681818,2020-01-08,male,1978-07-26,,,Massimo Andrea Ugolini
Governor of the Central Bank,Catia Tomasetti,Q110174675,2018-05-09,female,,,,
